CRUISER;;00:00;25/10/2016;00:00;25/10/2016;ProvisionalHW: 15:20 (3.0)LW: 08:53 (1.4)
DINGHY;Winter River Start;15:00;29/10/2016;16:55;29/10/2016;Winter Tide: 12.42 LW: 0.5M 2Race(s), Race Time: 3.00 PM
DINGHY;Winter River Start;10:00;06/11/2016;11:55;06/11/2016;Winter Tide: 9.51 HW: 3.4M 2Race(s), Race Time: 10.00 AM
DINGHY;Winter River Start;14:00;12/11/2016;15:55;12/11/2016;Winter Tide: 16.27 HW: 3.9M 2Race(s), Race Time: 2.00 PM
DINGHY;Winter River Start;10:00;20/11/2016;11:55;20/11/2016;Winter Tide: 10.24 HW: 3.6M 2Race(s), Race Time: 10.00 AM
DINGHY;Winter River Start;14:00;26/11/2016;15:55;26/11/2016;Winter Tide: 16.28 HW: 3.5M 2Race(s), Race Time: 2.00 PM
DINGHY;Winter River Start;10:00;04/12/2016;11:55;04/12/2016;Winter Tide: 9.01 HW: 3.7M 2Race(s), Race Time: 10.00 AM
DINGHY;Winter River Start;14:00;10/12/2016;15:55;10/12/2016;Winter Tide: 14.45 HW: 3.5M 2Race(s), Race Time: 2.00 PM
DINGHY;Winter River Start;14:00;17/12/2016;15:55;17/12/2016;Winter Tide: 14.57 LW: 0.3M 2Race(s), Race Time: 2.00 PM
DINGHY;Boxing Day River Start;11:00;26/12/2016;12:05;26/12/2016;Boxing Day Tide: 10.24 LW: 1M 1Race(s), Race Time: 11.00 AM
